id_proj,nome_proj,descricao_proj,tipo_proj,completo_proj,link_proj,imagem_proj_url
1a70dc29-bd9b-4c5d-91d7-fc83e7f3e20f,ReticulAI,"Este projeto trata-se de um sistema que realiza de forma automática a contagem e identificação de células do tecido sanguíneo chamadas de reticulócitos. A contagem de tais células são de grande importância para o diagnóstico e insights sobre doenças como anemia por exemplo. Atualmente, laboratórios de pequeno/médio porte fazem a contagem de modo manual. Assim, propomos um sistema automático de contagem dado a imagem da lâmina com as células.",Aplicação,False,,https://drive.google.com/thumbnail?id=16LtSc7qVYJwTfL20QxwbIqU-ABD1KFPu
dddfa86c-ad3d-44b5-aadd-9dfc6133a767,Personal StAIlist,Esse projeto teve como objetivo incluir pessoas com deficiência visual na indústria da moda. Usando Yolo V5 para identificar tipos de roupas e em seguida um modelo de identificação de cores dessas roupas. Após isso foi criado outro modelo para fazer a descrição das roupas para texto e o Text-to-Speech.,Aplicação,False,https://github.com/TailUFPB/Personal-StAIlist,https://drive.google.com/thumbnail?id=1h2YRXDiCpgeqDgcoeDg9JW-slsPxCH2A
545c9f29-ebde-41a7-bf8a-2bafa2780012,IAbstract,"Dado um artigo científico, gerar o seu abstract, as palavras-chave e o título.",Aplicação,False,https://github.com/ralfferreira/iabstract,https://drive.google.com/thumbnail?id=1Q_3bp1ZKDc2I8zDUpdZK9zYa1LlXGFVw
3fd7b1c1-0a10-4d7c-996f-39c1287bb89a,Análise de estatística de atributos de músicas do Spotify,"O estudo objetivou analisar uma base de dados de músicas do Spotify e explorar seus atributos, buscando entender a correlação entre esses e gerar insights a partir disso.",Aplicação,True,https://colab.research.google.com/drive/15CfGpp8APQIdphlG3lMzWIbGhWkQYnyh?usp=sharing,https://drive.google.com/thumbnail?id=1suz2ypCBImzQZXZ3QohzXTIpe7iLbeVW
34389c0e-fd56-4816-8b74-eeeea69bf4c2,Fit League,Aplicativo de rede social para competições de treino em academia.,Aplicação,False,,https://drive.google.com/thumbnail?id=1N0ZIamdvJzWkxhnyj973HsATZwqW0YTA
9c1165aa-fe4c-44a1-b58a-dc1ded3ff425,Ecoverse,O projeto visa emular uma cadeia alimentar simples a partir de agentes de aprendizado por reforço.,Aplicação,False,,https://drive.google.com/thumbnail?id=1_9TzwZNp_XRPj2GNomLIjWNBbHbp-Pbl
ad339c98-9011-4659-aaa8-fd3a406c61e6,SummarAIzer,"Esse projeto teve como objetivo sumarizar textos, com o intuito de reduzir a quantidade de palavras para transformar em Glosa e de Glosa para Libras. Com isso, facilita a comunicação para pessoas surdas, já que reduz o custo computacional e o tempo, fazendo com que o texto fique mais objetivo.",Aplicação,True,https://github.com/TailUFPB/summaraizer,https://drive.google.com/thumbnail?id=124zo7sYtbQR7zG__rssFiMAXmCtSvKUJ
33e54636-78c9-4011-a50b-18b735bd6bf2,Projeto de Leitura de Artigos,"Nesse semestre, a diretoria acadêmica fez leituras de artigos científicos focados em Inteligência Artificial e apresentou para o resto da liga acadêmica em uma rápida e resumida apresentação.",Aplicação,True,https://voczie.notion.site/Acad-mica-2023-2-4abff4d0f7794292966b59ac60a68ff2,https://drive.google.com/thumbnail?id=1N6kCD9HLgmKBYOG73eDs3my91PJDIc6s
7a7858de-44c0-49f2-994a-4f781607d22f,Desenvolvimento Inicial do Site,"Planejamento de como o novo site da TAIL seria desenvolvido, assim como a prototipação.",Aplicação,True,,https://drive.google.com/thumbnail?id=1L8QJ7fK_SOUcwPqmDNqP4P0W084GqMMH
7fade964-7189-4777-a33e-6d45e272c88c,mAIze,Problema de pathfinding resolvido em jogo de labirinto com RL.,Aplicação,True,https://github.com/TailUFPB/mAIze,https://drive.google.com/thumbnail?id=14pecwhOz12A_o4C8ThPEZsrd6sefxmbn
881ae917-2819-475e-a928-0ef8b227fbb7,Criação de artigos científicos dos projetos do ARIA e TAIL,"A Diretoria acadêmica se diferencia das demais por não ser orientada a um projeto, e sim a gerar artigos a partir de projetos antigos da TAIL e do Aria. Os membros focam em entender o que foi feito antes e buscar o embasamento teórico para a criação do artigo e posterior publicação em eventos da área.",Aplicação,False,,https://drive.google.com/thumbnail?id=1i35xYfjaZRwo1AV7vDmZCfyBJZ0CepYG
ce9c33b9-bf87-4a96-9db1-e92c22c894eb,RodoviARIA,"Utilizando dados da PRF disponibilizados pelo governo, criar um sistema para auxiliar com a diminuição dos problemas enfrentados no trânsito do Brasil.",Aplicação,True,,https://drive.google.com/thumbnail?id=1J1GEnnpeWmhvWPK2wEhi3RWp8DIX6p1B
d1ab95a2-f8e1-41f6-9d09-432fad58d543,Debyte!,O Debyte! foram várias análises feitas baseadas nos lexicons criados a partir dos discursos políticos dos membros do congresso federal.,Aplicação,True,https://voczie.notion.site/Debyte-2d1654954d6f484f8643280c436ae7aa?pvs=74,https://drive.google.com/thumbnail?id=1gyIh7jwKArEwLQPGXq0qVK0cByHP8LCT
1ce17fde-1484-4e32-8b3d-263492c35564,EmbrIAga,"Como modo de demonstrar o mundo dos dados e Inteligência Artificial, foi utilizado um dataset para prever o estágio de cirrose de um indivíduo através de exame sanguíneo e outros fatores do fígado. Fizemos uma Análise Exploratória dos Dados e utilizamos modelos de classificação como Regressão Logística, Árvores de Decisão e Redes Neurais. E obtivemos ótimos resultados e os membros ficaram satisfeitos.",Aplicação,False,,https://drive.google.com/thumbnail?id=14v531p-Zv8lAubcaXGnbretuXolRZ2Mp
b9c26935-566a-48af-9fa3-f480bbd79b66,Análise de Acidentes de Tráfego,"Estudo realizado de dados de acidentes de tráfego no Brasil entre 2007 e 2022, perpassando todas etapas de análise descritiva para definir causas principais de acidentes e consequências mais recorrentes registradas pela Polícia Rodoviária Federal, gerando insights sobre a problemática.",Aplicação,True,https://colab.research.google.com/drive/1x5I8pF76AHOuh5XSzd_Ok0T24paDmrUW?usp=sharing,https://drive.google.com/thumbnail?id=1nsm0CDRBvjr_AZiq-2f7YLqdkYWx9cOJ
